c	R2		MAE		p1mag	
Metric	Mean	SEM	Mean	SEM	Mean	SEM
Test	0.4396	0.0071	1.2287	0.0090	0.4856	0.0029
CLUSTER_99	0.3827	0.0150	1.2611	0.0049	0.4798	0.0015
CLUSTER_80	0.3920	0.0155	1.2592	0.0040	0.4769	0.0012
CLUSTER_60	0.3969	0.0178	1.2801	0.0039	0.4678	0.0012
CLUSTER_40	0.3528	0.0224	1.2910	0.0052	0.4624	0.0013
