,R2_mean,R2_stderr,MAE_mean,MAE_stderr,p1mag_mean,p1mag_stderr
Heldout,0.5280930307483633,0.0017902276135582035,0.6044958793986747,0.0013618123196870282,0.8070819112627987,0.0014741597733080977
CLUSTER_99,0.44747283133522286,0.00322478154000822,0.6986050965843958,0.002921487313269926,0.750391061452514,0.0025867791961542417
CLUSTER_80,0.39987892900548694,0.00343863989872406,0.7324838102139901,0.003112717013956731,0.7298969072164948,0.00249880405021462
CLUSTER_60,0.35671492999062204,0.0035905181458200036,0.7700447516215665,0.0027508555584252205,0.7038338658146965,0.00164466935159538
CLUSTER_40,0.3113829364724919,0.003100492915621648,0.8185710941557616,0.003081131539989629,0.6641604010025063,0.00326777062917426
