,R2_mean,R2_stderr,MAE_mean,MAE_stderr,p1mag_mean,p1mag_stderr
Heldout,0.5779141110505471,0.0022297404402403425,0.6841088743387118,0.0018009266827163878,0.7674047829937999,0.001215182499395137
CLUSTER_99,0.3737260275514286,0.0016911809124290236,0.9683580369445071,0.004065705280873235,0.6249201277955271,0.007993607669774307
CLUSTER_80,0.2950621879032621,0.0023519181752813595,1.0329854212890393,0.0038970114056274385,0.5928,0.007525955088890718
CLUSTER_60,0.21770196448942064,0.0021491721280907624,1.0794904799361467,0.00463655622895222,0.5634615384615385,0.007662200697360205
CLUSTER_40,0.16602820515206235,0.004042548524029911,1.1439090721482246,0.006509800457135044,0.5289473684210526,0.010106770720879748
